1.102143, 0.890902, -0.165480, 220,1 
0.448005, 0.231420, -0.158217, 238,2 
0.417022, 0.197963, -0.105383, 224,3 
0.920122, 0.726541, -0.299014, 362,4 
1.348941, 1.371372, -0.221230, 239,5 
0.910814, 0.638810, -0.239681, 349,6 
0.765280, 0.647346, -0.265487, 385,7 
1.113973, 1.086559, -0.232889, 349,8 
1.065644, 0.780700, -0.146138, 352,9 
1.151752, 0.908571, -0.133187, 251,10 
0.877666, 0.608168, -0.210335, 382,11 
0.959326, 0.784837, -0.192481, 349,1  2 
1.121334, 0.936627, -0.168999, 220,1  3 
1.367111, 1.406403, -0.162026, 220,1  4 
1.500167, 1.678199, -0.198318, 220,1  5 
0.977284, 0.817108, -0.186292, 219,1  6 
1.036977, 1.043681, -0.192831, 220,1  7 
1.074095, 1.060661, -0.246616, 304,1  8 
1.379686, 1.274176, -0.125609, 220,1  9 
1.323845, 1.229576, -0.123284, 220,1  10 
1.293919, 1.178618, -0.136376, 220,1  11 
0.440411, 0.224444, -0.134652, 382,2  3 
0.866530, 0.693021, -0.395389, 378,2  4 
0.855688, 0.737909, -0.278488, 349,2  5 
0.908900, 0.647687, -0.246278, 349,2  6 
0.839988, 0.730266, -0.294420, 385,2  7 
1.208328, 1.264535, -0.293854, 304,2  8 
0.812804, 0.596144, -0.281779, 352,2  9 
0.904131, 0.686407, -0.252065, 349,2  10 
0.800336, 0.584105, -0.323272, 382,2  11 
0.837090, 0.642865, -0.364910, 378,3  4 
1.269326, 1.274053, -0.204064, 239,3  5 
0.818465, 0.576900, -0.277389, 349,3  6 
1.081679, 1.003463, -0.246080, 385,3  7 
1.282081, 1.303293, -0.227660, 239,3  8 
0.832365, 0.602708, -0.251982, 352,3  9 
0.878865, 0.640782, -0.262946, 349,3  10 
0.475995, 0.319659, -0.329765, 382,3  11 
1.765746, 2.389144, -0.219727, 239,4  5 
1.122601, 0.957592, -0.287498, 349,4  6 
1.041708, 1.031470, -0.294223, 362,4  7 
1.358060, 1.600437, -0.247181, 349,4  8 
1.137623, 0.988440, -0.221878, 352,4  9 
1.126580, 0.986072, -0.216344, 352,4  10 
1.011600, 0.814969, -0.229527, 362,4  11 
1.622234, 1.981348, -0.239879, 239,5  6 
1.331629, 1.754287, -0.266104, 239,5  7 
1.159601, 1.152219, -0.240013, 349,5  8 
1.454854, 1.650036, -0.209906, 239,5  9 
1.406824, 1.596441, -0.211030, 239,5  10 
1.441616, 1.643495, -0.226782, 239,5  11 
0.950719, 0.880656, -0.280224, 349,6  7 
1.248115, 1.354211, -0.242930, 349,6  8 
0.874442, 0.660784, -0.244292, 349,6  9 
0.840341, 0.629847, -0.295753, 349,6  10 
0.881255, 0.651755, -0.241832, 349,6  11 
1.026469, 1.186184, -0.322994, 349,7  8 
1.110022, 1.050156, -0.204931, 352,7  9 
1.116591, 1.083977, -0.185060, 349,7  10 
