0.8555,1.0000,0.6381,0.8996,0.9630,0.9960,1.2848
0.8759,0.9980,0.6510,0.9053,0.9884,0.9970,1.3481
0.8768,0.9750,0.6518,0.9065,0.9919,0.9970,1.3466
0.8888,0.9950,0.6587,0.9050,1.0084,0.9970,1.3626
0.8949,0.9810,0.6631,0.8978,1.0192,0.9960,1.3723
0.8898,0.9710,0.6626,0.8787,1.0094,0.9940,1.3316
0.8886,0.9780,0.6603,0.8818,1.0121,0.9920,1.3429
0.8923,0.9900,0.6622,0.8918,1.0158,0.9910,1.3279
0.9183,1.0070,0.6823,0.9216,1.0320,0.9900,1.3159
0.9207,1.0120,0.6812,0.9455,1.0374,0.9880,1.3277
0.9171,1.0000,0.6783,0.9457,1.0334,0.9850,1.3370
0.9064,1.0090,0.6701,0.9472,1.0194,0.9840,1.3219
0.8996,1.0260,0.6654,0.9482,0.9978,0.9850,1.2827
0.9103,1.0330,0.6712,0.9466,1.0131,0.9840,1.3266
0.9028,1.0210,0.6655,0.9199,1.0105,0.9810,1.3314
0.9014,1.0270,0.6622,0.9151,1.0183,0.9830,1.3376
0.8998,1.0260,0.6596,0.9254,1.0209,0.9830,1.3552
0.8931,1.0310,0.6516,0.9224,1.0185,0.9850,1.3797
0.9120,1.0480,0.6657,0.9348,1.0396,0.9860,1.3993
0.9140,1.0500,0.6662,0.9269,1.0476,0.9860,1.4124
0.9091,1.0650,0.6616,0.9063,1.0397,0.9840,1.3860
0.9052,1.0560,0.6601,0.9145,1.0389,0.9840,1.3840
0.9034,1.0480,0.6629,0.9124,1.0285,0.9840,1.3382
0.9059,1.0450,0.6641,0.9335,1.0357,0.9840,1.3660
0.9192,1.0430,0.6748,0.9514,1.0511,0.9840,1.3930
0.9177,1.0530,0.6742,0.9513,1.0540,0.9820,1.3950
0.9142,1.0400,0.6704,0.9615,1.0560,0.9830,1.4292
0.9204,1.0310,0.6702,0.9615,1.0645,0.9830,1.4461
0.9526,1.0410,0.6892,0.9780,1.0754,0.9820,1.4379
0.9665,1.0330,0.7013,0.9929,1.0863,0.9810,1.4242
0.9698,1.0270,0.7089,0.9874,1.0760,0.9790,1.3765
0.9796,1.0110,0.7101,0.9870,1.0790,0.9790,1.3764
0.9724,0.9910,0.7087,0.9784,1.0803,0.9790,1.4129
0.9683,0.9950,0.6999,0.9931,1.0815,0.9800,1.4410
0.9489,0.9880,0.6840,0.9880,1.0624,0.9820,1.4305
0.9509,0.9770,0.6849,0.9820,1.0725,0.9820,1.4531
0.9663,0.9940,0.7005,0.9924,1.0941,0.9850,1.4935
0.9552,0.9900,0.6914,0.9819,1.0951,0.9850,1.4961
0.9494,0.9890,0.6914,0.9819,1.0911,0.9860,1.4901
0.9320,0.9980,0.6753,0.9764,1.0684,0.9880,1.4715
0.9361,0.9940,0.6794,0.9724,1.0725,0.9870,1.4908
0.9416,1.0020,0.6775,0.9559,1.0865,0.9870,1.5391
0.9542,0.9920,0.6890,0.9744,1.1046,0.9890,1.5611
0.9588,0.9880,0.6892,0.9720,1.1166,0.9880,1.5928
0.9493,0.9800,0.6877,0.9681,1.1106,0.9880,1.5519
0.9645,0.9720,0.6965,0.9790,1.1294,0.9880,1.5538
0.9661,0.9620,0.7018,NaN,1.1410,0.9870,1.5689
0.9641,0.9550,0.7040,0.9862,1.1426,0.9860,1.5649
0.9461,0.9610,0.6872,0.9824,1.1115,0.9860,1.5035
0.9429,0.9580,0.6885,0.9773,1.1097,0.9850,1.4889
0.9479,0.9810,0.6936,0.9832,1.1135,0.9850,1.5181
0.9655,0.9830,0.7077,0.9851,1.1411,0.9850,1.5737
0.9555,0.9780,0.7004,0.9843,1.1291,0.9840,1.5185
0.9449,0.9900,0.6908,0.9658,1.1005,0.9840,1.4743
0.9378,0.9900,0.6899,0.9536,1.0932,0.9830,1.4574
0.9254,0.9910,0.6844,0.9405,1.0717,0.9820,1.4274
0.9243,0.9960,0.6859,0.9477,1.0680,0.9820,1.4384
0.9267,0.9960,0.6841,0.9601,1.0386,0.9810,1.4189
0.9405,0.9950,0.6994,0.9832,1.0555,0.9810,1.4315
0.9273,0.9890,0.6934,0.9821,1.0413,0.9820,1.3893
0.9317,0.9830,0.6959,0.9873,1.0381,0.9840,1.3747
0.9299,0.9740,0.6941,0.9884,1.0453,0.9830,1.3754
