0.519,1.166,1.038,0.29,1.101,1.696,3.031,0.924,2.228,0.871,1.923
0.519,1.172,1.042,0.288,1.096,1.693,3.02,0.926,2.228,0.871,1.918
0.519,1.177,1.044,0.289,1.085,1.692,3.024,0.919,2.227,0.869,1.918
0.512,1.177,1.043,0.287,1.061,1.682,3.011,0.903,2.206,0.86,1.902
0.505,1.155,1.032,0.283,1.029,1.66,2.983,0.877,2.173,0.849,1.871
0.51,1.159,1.038,0.285,1.043,1.672,3.022,0.89,2.192,0.858,1.888
0.511,1.17,1.04,0.286,1.051,1.679,3.013,0.897,2.191,0.857,1.889
0.512,1.174,1.041,0.286,1.060,1.679,2.999,0.902,2.195,0.854,1.888
0.512,1.181,1.048,0.286,1.064,1.683,2.993,0.906,2.19,0.855,1.887
0.506,1.164,1.038,0.284,1.047,1.673,2.979,0.893,2.175,0.85,1.871
0.504,1.161,1.042,0.285,1.048,1.673,2.993,0.895,2.172,0.849,1.873
0.504,1.159,1.041,0.285,1.038,1.666,2.994,0.889,2.17,0.848,1.87
0.515,1.164,1.043,0.291,1.065,1.697,3.046,0.91,2.214,0.866,1.91
0.513,1.186,1.051,0.292,1.063,1.694,3.028,0.908,2.21,0.863,1.903
0.515,1.19,1.055,0.292,1.060,1.693,3.029,0.906,2.212,0.863,1.905
0.506,1.186,1.052,0.287,1.043,1.678,3.006,0.89,2.186,0.854,1.885
0.507,1.179,1.043,0.287,1.041,1.677,3.001,0.888,2.183,0.852,1.88
0.502,1.182,1.045,0.285,1.033,1.667,2.946,0.883,2.158,0.842,1.854
0.501,1.19,1.047,0.285,1.038,1.664,2.944,0.884,2.153,0.841,1.855
0.506,1.183,1.041,0.287,1.047,1.679,2.968,0.89,2.174,0.847,1.871
0.506,1.197,1.052,0.287,1.047,1.673,2.968,0.888,2.167,0.845,1.868
0.511,1.202,1.05,0.289,1.060,1.683,2.992,0.895,2.192,0.855,1.887
0.514,1.211,1.056,0.29,1.071,1.692,2.99,0.904,2.198,0.859,1.891
0.512,1.216,1.056,0.289,1.067,1.693,2.985,0.902,2.192,0.855,1.884
0.52,1.229,1.061,0.291,1.080,1.701,3.012,0.909,2.214,0.864,1.902
0.515,1.224,1.062,0.289,1.068,1.689,2.999,0.901,2.201,0.858,1.89
0.517,1.239,1.067,0.289,1.071,1.688,2.998,0.905,2.198,0.858,1.885
0.514,1.236,1.071,0.288,1.068,1.683,2.995,0.901,2.191,0.855,1.88
0.508,1.233,1.073,0.286,1.060,1.671,2.966,0.891,2.171,0.845,1.863
0.515,1.242,1.075,0.288,1.072,1.683,3.001,0.9,2.197,0.857,1.887
0.513,1.255,1.084,0.286,1.069,1.673,2.981,0.9,2.18,0.85,1.87
0.511,1.256,1.086,0.287,1.061,1.674,2.981,0.895,2.18,0.849,1.871
0.52,1.249,1.084,0.288,1.075,1.688,3.027,0.902,2.206,0.859,1.892
0.519,1.255,1.082,0.289,1.080,1.693,3.01,0.907,2.204,0.858,1.889
0.519,1.248,1.079,0.288,1.078,1.686,3,0.91,2.201,0.858,1.888
0.525,1.241,1.071,0.29,1.090,1.705,3.053,0.915,2.224,0.867,1.908
0.527,1.239,1.073,0.292,1.095,1.718,3.086,0.92,2.238,0.873,1.922
0.522,1.243,1.075,0.289,1.086,1.707,3.051,0.915,2.222,0.864,1.909
0.519,1.242,1.076,0.288,1.081,1.698,3.036,0.909,2.211,0.864,1.899
0.51,1.257,1.09,0.285,1.051,1.676,3.005,0.89,2.18,0.85,1.874
