0.8555,0.6381,0.9630,0.9960,1.2848
0.8759,0.6510,0.9884,0.9970,1.3481
0.8768,0.6518,0.9919,0.9970,1.3466
0.8888,0.6587,1.0084,0.9970,1.3626
0.8949,0.6631,1.0192,0.9960,1.3723
0.8898,0.6626,1.0094,0.9940,1.3316
0.8886,0.6603,1.0121,0.9920,1.3429
0.8923,0.6622,1.0158,0.9910,1.3279
0.9183,0.6823,1.0320,0.9900,1.3159
0.9207,0.6812,1.0374,0.9880,1.3277
0.9171,0.6783,1.0334,0.9850,1.3370
0.9064,0.6701,1.0194,0.9840,1.3219
0.8996,0.6654,0.9978,0.9850,1.2827
0.9103,0.6712,1.0131,0.9840,1.3266
0.9028,0.6655,1.0105,0.9810,1.3314
0.9014,0.6622,1.0183,0.9830,1.3376
0.8998,0.6596,1.0209,0.9830,1.3552
0.8931,0.6516,1.0185,0.9850,1.3797
0.9120,0.6657,1.0396,0.9860,1.3993
0.9140,0.6662,1.0476,0.9860,1.4124
0.9091,0.6616,1.0397,0.9840,1.3860
0.9052,0.6601,1.0389,0.9840,1.3840
0.9034,0.6629,1.0285,0.9840,1.3382
0.9059,0.6641,1.0357,0.9840,1.3660
0.9192,0.6748,1.0511,0.9840,1.3930
0.9177,0.6742,1.0540,0.9820,1.3950
0.9142,0.6704,1.0560,0.9830,1.4292
0.9204,0.6702,1.0645,0.9830,1.4461
0.9526,0.6892,1.0754,0.9820,1.4379
0.9665,0.7013,1.0863,0.9810,1.4242
0.9698,0.7089,1.0760,0.9790,1.3765
0.9796,0.7101,1.0790,0.9790,1.3764
0.9724,0.7087,1.0803,0.9790,1.4129
0.9683,0.6999,1.0815,0.9800,1.4410
0.9489,0.6840,1.0624,0.9820,1.4305
0.9509,0.6849,1.0725,0.9820,1.4531
0.9663,0.7005,1.0941,0.9850,1.4935
0.9552,0.6914,1.0951,0.9850,1.4961
0.9494,0.6914,1.0911,0.9860,1.4901
0.9320,0.6753,1.0684,0.9880,1.4715
0.9361,0.6794,1.0725,0.9870,1.4908
0.9416,0.6775,1.0865,0.9870,1.5391
0.9542,0.6890,1.1046,0.9890,1.5611
0.9588,0.6892,1.1166,0.9880,1.5928
0.9493,0.6877,1.1106,0.9880,1.5519
