1.3517,1.148,1,1.1008
1.3569,1.155,1.0002,1.098
1.3958,1.157,NaN,1.1061
1.3849,1.156,NaN,1.1068
1.3988,1.141,NaN,1.0945
1.437,1.138,NaN,1.0972
1.4358,1.137,1.0005,1.0993
1.4376,1.143,NaN,1.0801
1.424,1.141,NaN,1.0733
1.411,1.154,NaN,1.0733
1.4111,1.152,NaN,1.0624
1.4085,1.164,1.0029,1.0489
1.3962,1.175,NaN,1.0477
1.414,1.176,NaN,1.0549
1.4468,NaN,NaN,1.066
1.4258,1.18,NaN,1.0477
1.4534,1.174,1.005,1.0639
1.4682,1.172,NaN,1.0672
1.4642,1.178,1.006,1.0717
1.4958,1.17,NaN,1.0769
1.5178,1.163,1.0049,1.0681
1.485,1.16,NaN,1.0384
1.5171,1.17,NaN,1.0447
1.5756,1.173,1.0064,1.046
1.5481,1.169,NaN,1.0342
1.5181,1.171,NaN,1.0153
1.5286,1.153,NaN,1.0105
1.5709,1.174,1.0068,1.0305
1.587,1.184,NaN,1.0374
1.5644,1.186,1.0073,1.039
1.5649,1.179,1.0063,1.0271
1.5393,NaN,NaN,1.0193
1.5776,1.188,NaN,1.0349
1.605,1.191,1.0093,1.0626
1.6377,1.187,1.0025,1.07
1.6629,1.163,NaN,1.0859
1.655,1.153,NaN,1.0857
1.648,1.151,0.9845,1.0833
1.676,1.139,0.9752,1.093
1.6753,1.16,0.9821,1.0866
1.7159,1.169,0.9882,1.1066
1.7389,1.176,0.9911,1.1392
1.7097,1.188,1.0026,1.1408
1.724,1.19,1.0033,1.1534
1.6622,1.2,NaN,1.1363
1.6958,1.201,NaN,1.1558
1.7434,NaN,NaN,1.1777
1.7281,1.206,1.0151,1.1762
1.7267,1.199,NaN,1.1763
1.6941,1.205,1.0157,1.1597
1.6991,1.203,NaN,1.1521
1.7217,1.21,1.0205,1.1475
1.6466,1.208,NaN,1.1071
1.6389,1.207,NaN,1.1144
1.5814,1.215,1.0249,1.0996
1.6037,1.214,1.0277,1.1111
1.6369,1.205,NaN,1.1342
1.631,1.221,1.036,1.1344
1.6348,1.224,1.0365,1.1285
1.6326,1.222,1.0383,1.127
1.6304,1.216,1.0381,1.1213
1.5709,1.219,1.0394,1.0787
1.5583,1.215,NaN,1.0798
1.5621,1.22,NaN,1.0801
1.6038,1.202,NaN,1.0917
1.6006,1.195,NaN,1.0866
1.6486,1.205,NaN,1.1084
1.6577,1.219,NaN,1.1144
1.6362,1.212,1.031,1.112
1.5824,1.217,1.0395,1.0829
1.5848,1.204,NaN,1.1041
1.5597,1.193,1.0311,1.1134
1.5577,1.196,1.0354,1.1149
1.5829,1.182,1.0282,1.1178
1.5279,1.176,1.0269,1.1017
1.4864,1.178,1.0321,1.0797
1.4835,1.186,1.0406,1.0728
1.5137,1.207,NaN,1.0892
1.4839,1.209,1.0503,1.0899
1.4815,1.2,1.0497,1.0883
1.5045,1.169,NaN,1.1003
1.5089,1.168,1.0295,1.1119
1.5318,1.187,1.0401,1.1222
