3.8944,1.448,1.1703,3.0742
4.0618,1.453,1.1725,3.1375
3.8029,1.471,1.1836,3.0347
3.5927,1.465,1.1768,2.8259
3.6785,1.476,1.185,2.8406
3.6689,1.468,1.1771,2.9027
3.4712,1.465,1.1737,2.7997
3.1553,1.456,1.1732,2.5626
2.9006,1.424,1.1492,2.3899
3.0843,1.428,1.1517,2.5073
2.9706,1.439,1.1601,2.3679
2.846,1.441,1.16,2.2066
2.7955,NaN,NaN,2.0718
2.6701,1.436,1.1558,2.0423
2.5055,1.439,1.1625,1.9067
2.5198,1.414,1.1437,1.8608
2.6061,1.414,1.1457,1.9448
2.7259,1.435,1.1599,2.0432
2.8995,1.458,1.1762,2.1705
2.9473,1.468,1.1819,2.215
2.7956,1.47,1.182,2.0878
2.8436,1.49,1.1916,2.1378
3.0235,1.511,1.1932,2.2557
3.0978,1.517,1.1945,2.2904
3.133,1.514,1.1895,2.3207
3.1458,1.497,1.1861,2.3501
3.226,1.493,1.1795,2.4223
3.1433,1.478,1.1668,2.3852
2.8962,1.466,1.1599,2.2057
2.7806,1.479,1.1738,2.1632
2.9127,1.485,1.1825,2.2679
2.7638,1.492,1.1829,2.2057
2.7445,1.489,1.1803,2.1863
2.5858,1.486,1.1768,2.1331
2.7573,1.483,1.1742,2.2483
2.7077,1.494,1.1785,2.2194
2.6865,1.473,1.1696,2.2063
2.7997,1.47,1.1661,2.2696
2.949,1.487,1.1807,2.3787
2.9391,1.495,1.1906,2.3895
2.8511,1.521,1.2107,2.362
2.925,1.534,1.2224,2.4186
2.9106,1.537,1.2265,2.4448
2.9014,1.548,1.2328,2.4999
2.7145,1.541,1.2297,2.3131
2.7905,1.53,1.2194,2.3653
2.7201,1.487,1.1925,2.2852
2.5293,1.426,1.1543,2.1629
2.3131,1.374,1.1081,1.989
2.1291,1.37,1.0963,1.8384
2.0139,1.438,1.1399,1.7691
2.0917,1.473,1.1682,1.8316
2.2292,1.473,1.1672,1.9428
2.1339,1.453,1.1558,1.8672
2.0135,1.405,1.1196,1.748
1.9749,1.44,1.1377,1.7345
2.0182,NaN,NaN,1.7462
2.1389,1.456,1.1499,1.8168
2.218,1.439,1.134,1.8683
2.1797,1.456,1.1423,1.8379
2.2043,1.464,1.1468,1.854
2.0232,1.459,1.1419,1.7289
1.8951,1.475,1.1557,1.6331
2.0467,1.484,1.1665,1.7429
2.0543,1.484,1.1627,1.7107
2.1156,1.462,1.1431,1.7327
2.2313,1.467,1.1494,1.7948
2.2346,1.448,1.136,1.8084
2.2368,1.449,1.1345,1.7879
2.2724,1.445,1.131,1.8139
2.174,1.433,1.1304,1.7546
2.2917,1.391,1.1008,1.7866
2.2644,1.383,1.101,1.7533
2.2436,1.414,1.1211,1.7591
2.3656,1.468,1.1737,1.8304
