Date,Open,High,Low,Close,Volume,Adj Close
2007-11-14,149.220001,149.399994,146.779999,147.669998,230558800,122.210098
2007-11-13,145.369995,148.309998,145.220001,148.080002,191117400,122.549412
2007-11-12,145.210007,146.610001,143.699997,143.699997,243087800,118.924568
2007-11-09,145.690002,147.539993,144.889999,145.139999,277745100,120.116298
2007-11-08,147.990005,148.399994,145.070007,147.160004,374509900,121.788032
2007-11-07,150.440002,151.130005,147.550003,147.910004,306639700,122.408724
2007-11-06,150.860001,152.110001,149.899994,152.070007,177800500,125.851498
2007-11-05,149.639999,151.160004,148.970001,150.050003,226841000,124.179764
2007-11-02,151.529999,152.00,149.210007,151.199997,331228200,125.131487
2007-11-01,153.289993,153.410004,150.589996,151.029999,333040800,124.990798
2007-10-31,153.979996,155.270004,152.839996,154.649994,220954400,127.986667
2007-10-30,153.449997,153.75,152.869995,153.059998,132981600,126.670803
2007-10-29,153.929993,154.440002,153.550003,154.130005,106841000,127.55633
2007-10-26,153.059998,153.619995,151.899994,153.619995,176484000,127.134251
2007-10-25,151.649994,152.289993,149.880005,151.839996,237374500,125.661143
2007-10-24,151.210007,151.740005,148.839996,151.479996,326694200,125.363211
2007-10-23,151.460007,151.949997,150.25,151.759995,180085100,125.594935
2007-10-22,148.860001,150.759995,148.660004,150.539993,261989800,124.585275
2007-10-19,153.089996,156.479996,149.660004,149.669998,297169900,123.865276
2007-10-18,153.449997,154.190002,153.080002,153.690002,148367500,127.192188
2007-10-17,154.979996,155.089996,152.470001,154.25,216687300,127.655636
2007-10-16,154.410004,154.520004,153.470001,153.779999,166525700,127.266668
2007-10-15,156.270004,156.360001,153.940002,155.009995,161151900,128.284599
2007-10-12,155.460007,156.350006,155.270004,156.330002,124546700,129.377023
2007-10-11,156.929993,157.520004,154.539993,155.470001,233529100,128.665296
2007-10-10,156.039993,156.440002,155.410004,156.220001,101711100,129.285988
2007-10-09,155.600006,156.50,155.029999,156.479996,94054300,129.501157
2007-10-08,155.389999,155.490005,154.770004,155.020004,71280400,128.292883
2007-10-05,155.029999,156.100006,154.630005,155.850006,134579700,128.979784
2007-10-04,154.110001,154.259995,153.589996,154.020004,76864400,127.465294
2007-10-03,153.809998,154.410004,153.009995,153.779999,119055900,127.266668
2007-10-02,154.610001,154.649994,153.809998,154.089996,112978800,127.523219
2007-10-01,152.600006,154.75,152.50,154.300003,148162300,127.697018
2007-09-28,152.850006,153.190002,151.979996,152.580002,133372100,126.273564
2007-09-27,152.910004,153.100006,152.190002,153.089996,102713300,126.69563
2007-09-26,152.25,152.770004,151.389999,152.190002,135547000,125.950804
2007-09-25,150.809998,151.660004,150.470001,151.389999,142289900,125.288731
2007-09-24,152.419998,152.820007,151.360001,151.690002,139450200,125.53701
2007-09-21,152.710007,153.119995,151.740005,151.970001,141457500,125.768734
2007-09-20,153.339996,153.429993,152.110001,152.279999,175186800,125.43025
2007-09-19,153.410004,154.389999,152.710007,153.360001,193779900,126.319828
2007-09-18,148.830002,152.50,148.130005,152.460007,263759500,125.578519
2007-09-17,148.309998,148.649994,147.630005,148.100006,109870800,121.987267
2007-09-14,147.960007,149.089996,147.740005,148.899994,121911000,122.646202
2007-09-13,148.550003,149.449997,148.199997,148.910004,154079000,122.654447
2007-09-12,147.289993,148.440002,146.979996,147.869995,149554600,121.797811
2007-09-11,146.240005,147.699997,146.130005,147.490005,162081900,121.48482
2007-09-10,146.520004,146.720001,144.330002,145.789993,192305900,120.084551
2007-09-07,146.479996,146.889999,145.259995,146.070007,235447600,120.315194
2007-09-06,147.949997,148.610001,147.119995,148.130005,127878400,122.011976
2007-09-05,148.199997,148.360001,147.00,147.789993,166261800,121.731915
2007-09-04,147.449997,149.979996,147.399994,149.080002,120062000,122.794471
2007-08-31,147.649994,148.50,146.830002,147.589996,185477500,121.567181
2007-08-30,145.449997,147.190002,145.309998,146.149994,191817300,120.381077
2007-08-29,144.369995,146.740005,143.960007,146.539993,207654200,120.702313
2007-08-28,146.160004,146.25,143.460007,143.720001,219790700,118.379537
2007-08-27,147.850006,148.330002,146.729996,146.949997,113024300,121.040025
2007-08-24,146.479996,148.330002,146.279999,148.330002,128901900,122.17671
2007-08-23,147.339996,147.649994,145.610001,146.520004,203915300,120.685848
2007-08-22,146.009995,146.800003,145.330002,146.649994,173156700,120.792918
2007-08-21,144.600006,145.970001,144.139999,144.929993,157066400,119.376185
2007-08-20,145.169998,145.470001,143.289993,144.639999,187320400,119.137322
2007-08-17,145.50,145.809998,141.389999,144.710007,388218100,119.194986
2007-08-16,139.789993,142.940002,137.00,142.100006,546743700,117.045176
2007-08-15,142.720001,144.460007,140.619995,141.039993,323834000,116.172063
2007-08-14,145.699997,146.059998,142.720001,143.009995,264134500,117.794717
2007-08-13,146.50,146.889999,145.020004,145.229996,181917200,119.623292
2007-08-10,144.389999,146.50,143.119995,144.710007,411018400,119.194986
2007-08-09,147.429993,148.949997,145.289993,145.389999,357622100,119.755084
2007-08-08,148.410004,150.589996,147.339996,149.830002,274930600,123.412232
2007-08-07,145.940002,149.00,145.229996,147.770004,232568700,121.71545
2007-08-06,144.210007,146.830002,142.529999,146.210007,324980000,120.430509
2007-08-03,147.279999,147.580002,143.199997,143.800003,359398200,118.445433
2007-08-02,146.759995,147.759995,145.259995,147.600006,294758400,121.575426
2007-08-01,145.179993,147.009995,143.949997,146.429993,467670000,120.611707
2007-07-31,148.330002,149.460007,145.039993,145.720001,316976700,120.0269
