symbol= 510170, sharpRatio= 0.342481, cumret= 0.074766, maxDrawdown= -0.234875, maxDrawdownDuration= 205 
symbol= 510180, sharpRatio= 0.014368, cumret= 0.010993, maxDrawdown= -0.182631, maxDrawdownDuration= 207 
symbol= 510190, sharpRatio= -0.101186, cumret= -0.018025, maxDrawdown= -0.210245, maxDrawdownDuration= 207 
symbol= 510210, sharpRatio= -0.076523, cumret= -0.009724, maxDrawdown= -0.203175, maxDrawdownDuration= 207 
symbol= 510220, sharpRatio= -0.220416, cumret= -0.055556, maxDrawdown= -0.245875, maxDrawdownDuration= 207 
symbol= 510230, sharpRatio= 0.200559, cumret= 0.042384, maxDrawdown= -0.168173, maxDrawdownDuration= 148 
symbol= 510260, sharpRatio= -0.181898, cumret= -0.051325, maxDrawdown= -0.241491, maxDrawdownDuration= 207 
symbol= 510270, sharpRatio= 0.048337, cumret= 0.014493, maxDrawdown= -0.190000, maxDrawdownDuration= 207 
symbol= 510280, sharpRatio= 0.196096, cumret= 0.041512, maxDrawdown= -0.178441, maxDrawdownDuration= 148 
symbol= 510290, sharpRatio= -0.160935, cumret= -0.051252, maxDrawdown= -0.253693, maxDrawdownDuration= 207 
symbol= 510300, sharpRatio= -0.000746, cumret= 0.006081, maxDrawdown= -0.186427, maxDrawdownDuration= 207 
symbol= 510310, sharpRatio= 0.030245, cumret= 0.010381, maxDrawdown= -0.191687, maxDrawdownDuration= 207 
symbol= 510330, sharpRatio= 0.055745, cumret= 0.015757, maxDrawdown= -0.188153, maxDrawdownDuration= 207 
symbol= 510360, sharpRatio= 0.105239, cumret= 0.024262, maxDrawdown= -0.188291, maxDrawdownDuration= 205 
symbol= 510410, sharpRatio= 0.512556, cumret= 0.120521, maxDrawdown= -0.221482, maxDrawdownDuration= 123 
symbol= 510420, sharpRatio= -0.096067, cumret= -0.022772, maxDrawdown= -0.230769, maxDrawdownDuration= 207 
symbol= 510430, sharpRatio= 0.070381, cumret= 0.016212, maxDrawdown= -0.195683, maxDrawdownDuration= 207 
symbol= 510440, sharpRatio= -0.141050, cumret= -0.047925, maxDrawdown= -0.255102, maxDrawdownDuration= 207 
symbol= 510450, sharpRatio= -1.057474, cumret= -0.170613, maxDrawdown= -0.247472, maxDrawdownDuration= 111 
symbol= 510500, sharpRatio= -0.092249, cumret= -0.037899, maxDrawdown= -0.250649, maxDrawdownDuration= 207 
symbol= 510510, sharpRatio= -0.124677, cumret= -0.044054, maxDrawdown= -0.248897, maxDrawdownDuration= 207 
symbol= 510520, sharpRatio= -0.139941, cumret= -0.045739, maxDrawdown= -0.242318, maxDrawdownDuration= 207 
symbol= 510560, sharpRatio= -0.125793, cumret= -0.044578, maxDrawdown= -0.249293, maxDrawdownDuration= 207 
symbol= 510580, sharpRatio= -0.255619, cumret= -0.061261, maxDrawdown= -0.212612, maxDrawdownDuration= 207 
symbol= 510610, sharpRatio= -0.468628, cumret= -0.058946, maxDrawdown= -0.190383, maxDrawdownDuration= 53 
symbol= 510620, sharpRatio= -0.598631, cumret= -0.081899, maxDrawdown= -0.256169, maxDrawdownDuration= 53 
symbol= 510630, sharpRatio= 0.507108, cumret= 0.106057, maxDrawdown= -0.190941, maxDrawdownDuration= 118 
symbol= 510650, sharpRatio= 0.125234, cumret= 0.030006, maxDrawdown= -0.163894, maxDrawdownDuration= 148 
symbol= 510660, sharpRatio= -0.049371, cumret= -0.011970, maxDrawdown= -0.218979, maxDrawdownDuration= 207 
symbol= 510680, sharpRatio= 0.589526, cumret= 0.081344, maxDrawdown= -0.062017, maxDrawdownDuration= 76 
symbol= 510700, sharpRatio= 5.527479, cumret= 0.243590, maxDrawdown= -0.589744, maxDrawdownDuration= 2 
symbol= 510710, sharpRatio= 0.206464, cumret= 0.043372, maxDrawdown= -0.172151, maxDrawdownDuration= 148 
symbol= 510880, sharpRatio= 0.178929, cumret= 0.038720, maxDrawdown= -0.173695, maxDrawdownDuration= 204 
symbol= 510900, sharpRatio= 0.386925, cumret= 0.078296, maxDrawdown= -0.156696, maxDrawdownDuration= 122 
symbol= 511010, sharpRatio= 0.206089, cumret= 0.027853, maxDrawdown= -0.014159, maxDrawdownDuration= 57 
