symbol= 510170, sharpRatio= 0.286551, cumret= 0.247289, maxDrawdown= -0.553479, maxDrawdownDuration= 346 
symbol= 510180, sharpRatio= 0.579993, cumret= 0.594170, maxDrawdown= -0.447045, maxDrawdownDuration= 350 
symbol= 510190, sharpRatio= 0.627478, cumret= 0.690958, maxDrawdown= -0.486836, maxDrawdownDuration= 346 
symbol= 510210, sharpRatio= 0.654464, cumret= 0.709091, maxDrawdown= -0.471857, maxDrawdownDuration= 346 
symbol= 510220, sharpRatio= 0.616573, cumret= 0.742236, maxDrawdown= -0.536511, maxDrawdownDuration= 346 
symbol= 510230, sharpRatio= 0.670897, cumret= 0.818062, maxDrawdown= -0.433431, maxDrawdownDuration= 350 
symbol= 510260, sharpRatio= 0.552412, cumret= 0.634807, maxDrawdown= -0.559529, maxDrawdownDuration= 346 
symbol= 510270, sharpRatio= 0.568048, cumret= 0.608108, maxDrawdown= -0.476857, maxDrawdownDuration= 350 
symbol= 510280, sharpRatio= 0.569100, cumret= 0.603881, maxDrawdown= -0.423256, maxDrawdownDuration= 350 
symbol= 510290, sharpRatio= 0.713924, cumret= 0.978403, maxDrawdown= -0.538965, maxDrawdownDuration= 346 
symbol= 510300, sharpRatio= 0.582819, cumret= 0.609253, maxDrawdown= -0.445546, maxDrawdownDuration= 350 
symbol= 510310, sharpRatio= 0.595352, cumret= 0.640523, maxDrawdown= -0.460140, maxDrawdownDuration= 350 
symbol= 510330, sharpRatio= 0.616936, cumret= 0.664089, maxDrawdown= -0.445762, maxDrawdownDuration= 350 
symbol= 510360, sharpRatio= 0.190179, cumret= 0.055400, maxDrawdown= -0.256712, maxDrawdownDuration= 217 
symbol= 510410, sharpRatio= 0.253859, cumret= 0.204841, maxDrawdown= -0.561624, maxDrawdownDuration= 349 
symbol= 510420, sharpRatio= 0.589438, cumret= 0.659669, maxDrawdown= -0.516000, maxDrawdownDuration= 346 
symbol= 510430, sharpRatio= 0.495011, cumret= 0.508753, maxDrawdown= -0.495032, maxDrawdownDuration= 350 
symbol= 510440, sharpRatio= 0.643958, cumret= 0.811090, maxDrawdown= -0.539501, maxDrawdownDuration= 346 
symbol= 510450, sharpRatio= 0.457110, cumret= 0.420686, maxDrawdown= -0.516248, maxDrawdownDuration= 250 
symbol= 510500, sharpRatio= 0.752227, cumret= 1.016615, maxDrawdown= -0.531168, maxDrawdownDuration= 346 
symbol= 510510, sharpRatio= 0.689200, cumret= 0.874395, maxDrawdown= -0.554189, maxDrawdownDuration= 346 
symbol= 510520, sharpRatio= 0.702307, cumret= 0.723300, maxDrawdown= -0.507073, maxDrawdownDuration= 346 
symbol= 510560, sharpRatio= -0.652358, cumret= -0.365092, maxDrawdown= -0.528642, maxDrawdownDuration= 338 
symbol= 510580, sharpRatio= 0.195055, cumret= 0.051200, maxDrawdown= -0.278408, maxDrawdownDuration= 236 
symbol= 510610, sharpRatio= 0.060254, cumret= -0.020703, maxDrawdown= -0.516919, maxDrawdownDuration= 296 
symbol= 510620, sharpRatio= 0.319020, cumret= 0.225571, maxDrawdown= -0.566730, maxDrawdownDuration= 254 
symbol= 510630, sharpRatio= 0.551347, cumret= 0.586129, maxDrawdown= -0.441351, maxDrawdownDuration= 346 
symbol= 510650, sharpRatio= 0.624720, cumret= 0.730349, maxDrawdown= -0.430117, maxDrawdownDuration= 350 
symbol= 510660, sharpRatio= 0.436258, cumret= 0.437110, maxDrawdown= -0.427198, maxDrawdownDuration= 346 
symbol= 510680, sharpRatio= 0.749674, cumret= 0.847800, maxDrawdown= -0.520603, maxDrawdownDuration= 346 
symbol= 510700, sharpRatio= 0.825680, cumret= 0.626411, maxDrawdown= -0.429026, maxDrawdownDuration= 278 
symbol= 510710, sharpRatio= -0.672539, cumret= -0.275900, maxDrawdown= -0.415495, maxDrawdownDuration= 347 
symbol= 510880, sharpRatio= 0.645350, cumret= 0.676667, maxDrawdown= -0.435722, maxDrawdownDuration= 346 
