symbol= 510170, sharpRatio= 0.323784, cumret= -0.425000, maxDrawdown= -0.835104, maxDrawdownDuration= 1125 
symbol= 510180, sharpRatio= 0.528381, cumret= 2.062400, maxDrawdown= -0.943410, maxDrawdownDuration= 2224 
symbol= 510190, sharpRatio= 0.369544, cumret= 0.253000, maxDrawdown= -0.654380, maxDrawdownDuration= 1125 
symbol= 510210, sharpRatio= 0.395592, cumret= 0.222000, maxDrawdown= -0.695786, maxDrawdownDuration= 1125 
symbol= 510220, sharpRatio= 0.433463, cumret= 0.122000, maxDrawdown= -0.775388, maxDrawdownDuration= 1125 
symbol= 510230, sharpRatio= 0.365423, cumret= 0.519900, maxDrawdown= -0.729078, maxDrawdownDuration= 999 
symbol= 510260, sharpRatio= 0.132667, cumret= 0.146000, maxDrawdown= -0.559529, maxDrawdownDuration= 826 
symbol= 510270, sharpRatio= 0.160322, cumret= 0.190000, maxDrawdown= -0.476857, maxDrawdownDuration= 807 
symbol= 510280, sharpRatio= 0.278769, cumret= 0.405000, maxDrawdown= -0.423256, maxDrawdownDuration= 438 
symbol= 510290, sharpRatio= 0.372347, cumret= 0.603581, maxDrawdown= -0.538965, maxDrawdownDuration= 667 
symbol= 510300, sharpRatio= 0.351898, cumret= 0.347170, maxDrawdown= -0.658798, maxDrawdownDuration= 999 
symbol= 510310, sharpRatio= 0.398132, cumret= 0.430700, maxDrawdown= -0.460140, maxDrawdownDuration= 353 
symbol= 510330, sharpRatio= 0.448477, cumret= 0.527800, maxDrawdown= -0.445762, maxDrawdownDuration= 433 
symbol= 510360, sharpRatio= 0.190179, cumret= 0.055400, maxDrawdown= -0.256712, maxDrawdownDuration= 217 
symbol= 510410, sharpRatio= -0.168677, cumret= -0.268300, maxDrawdown= -0.561624, maxDrawdownDuration= 720 
symbol= 510420, sharpRatio= 0.378496, cumret= 0.502000, maxDrawdown= -0.516000, maxDrawdownDuration= 384 
symbol= 510430, sharpRatio= 0.321286, cumret= 0.379000, maxDrawdown= -0.495032, maxDrawdownDuration= 440 
symbol= 510440, sharpRatio= 0.590705, cumret= 0.927000, maxDrawdown= -0.539501, maxDrawdownDuration= 346 
symbol= 510450, sharpRatio= 0.458760, cumret= 0.425800, maxDrawdown= -0.516248, maxDrawdownDuration= 250 
symbol= 510500, sharpRatio= 0.653294, cumret= 0.942000, maxDrawdown= -0.531168, maxDrawdownDuration= 346 
symbol= 510510, sharpRatio= 0.623525, cumret= 0.820600, maxDrawdown= -0.554189, maxDrawdownDuration= 346 
symbol= 510520, sharpRatio= 0.702307, cumret= 0.723300, maxDrawdown= -0.507073, maxDrawdownDuration= 346 
symbol= 510560, sharpRatio= -0.652358, cumret= -0.365092, maxDrawdown= -0.528642, maxDrawdownDuration= 338 
symbol= 510580, sharpRatio= 0.195055, cumret= 0.051200, maxDrawdown= -0.278408, maxDrawdownDuration= 236 
symbol= 510610, sharpRatio= -0.201476, cumret= -0.233700, maxDrawdown= -0.516919, maxDrawdownDuration= 413 
symbol= 510620, sharpRatio= 0.087335, cumret= -0.007900, maxDrawdown= -0.566730, maxDrawdownDuration= 386 
symbol= 510630, sharpRatio= 0.533514, cumret= 0.612300, maxDrawdown= -0.441351, maxDrawdownDuration= 346 
symbol= 510650, sharpRatio= 0.444999, cumret= 0.503500, maxDrawdown= -0.430117, maxDrawdownDuration= 350 
symbol= 510660, sharpRatio= 0.479387, cumret= 0.543600, maxDrawdown= -0.427198, maxDrawdownDuration= 346 
symbol= 510680, sharpRatio= 0.749674, cumret= 0.847800, maxDrawdown= -0.520603, maxDrawdownDuration= 346 
symbol= 510700, sharpRatio= 0.481928, cumret= 0.441000, maxDrawdown= -0.532924, maxDrawdownDuration= 453 
symbol= 510710, sharpRatio= -0.672539, cumret= -0.275900, maxDrawdown= -0.415495, maxDrawdownDuration= 347 
symbol= 510880, sharpRatio= 0.335593, cumret= 1.012000, maxDrawdown= -0.818182, maxDrawdownDuration= 2224 
symbol= 510900, sharpRatio= 0.012291, cumret= 0.027400, maxDrawdown= -0.417289, maxDrawdownDuration= 454 
symbol= 511010, sharpRatio= 0.367418, cumret= 0.144000, maxDrawdown= -0.050395, maxDrawdownDuration= 321 
symbol= 511210, sharpRatio= 1.450733, cumret= 0.174700, maxDrawdown= -0.021100, maxDrawdownDuration= 129 
symbol= 512010, sharpRatio= 0.359859, cumret= 0.315500, maxDrawdown= -0.364043, maxDrawdownDuration= 346 
symbol= 512110, sharpRatio= 0.603650, cumret= 0.552000, maxDrawdown= -0.452501, maxDrawdownDuration= 312 
symbol= 512120, sharpRatio= 0.429577, cumret= 0.370000, maxDrawdown= -0.427907, maxDrawdownDuration= 346 
symbol= 512230, sharpRatio= 0.470362, cumret= 0.323600, maxDrawdown= -0.471975, maxDrawdownDuration= 346 
symbol= 512300, sharpRatio= 0.445692, cumret= 0.266000, maxDrawdown= -0.535832, maxDrawdownDuration= 346 
symbol= 512500, sharpRatio= -0.479424, cumret= -0.300500, maxDrawdown= -0.542571, maxDrawdownDuration= 346 
symbol= 512510, sharpRatio= -0.545413, cumret= -0.332700, maxDrawdown= -0.540056, maxDrawdownDuration= 346 
symbol= 512600, sharpRatio= 0.686964, cumret= 0.533087, maxDrawdown= -0.426600, maxDrawdownDuration= 346 
symbol= 512610, sharpRatio= 0.590828, cumret= 0.451174, maxDrawdown= -0.455280, maxDrawdownDuration= 346 
symbol= 512640, sharpRatio= 0.822566, cumret= 0.730796, maxDrawdown= -0.423892, maxDrawdownDuration= 350 
symbol= 513500, sharpRatio= 0.706926, cumret= 0.360600, maxDrawdown= -0.110724, maxDrawdownDuration= 66 
symbol= 513600, sharpRatio= 0.084548, cumret= 0.046000, maxDrawdown= -0.289869, maxDrawdownDuration= 365 
symbol= 513660, sharpRatio= 0.065722, cumret= 0.037900, maxDrawdown= -0.301775, maxDrawdownDuration= 355 
symbol= 518880, sharpRatio= -0.078120, cumret= 0.026500, maxDrawdown= -0.229108, maxDrawdownDuration= 687 
