159905,0.158262,0.232630,-0.428154,934 
159915,0.586742,1.392900,-0.564195,354 
159919,0.321614,0.413900,-0.459010,433 
159922,0.619916,0.864900,-0.540757,347 
159938,0.546266,0.343000,-0.475033,347 
159948,0.756835,0.080700,-0.083938,81 
510060,0.205011,0.171717,-0.500745,663 
510130,0.387595,0.311099,-0.709860,1126 
510180,0.373795,0.268493,-0.754651,996 
510290,0.374198,0.608583,-0.538965,667 
510310,0.397714,0.430600,-0.460140,353 
510330,0.447987,0.527600,-0.445762,433 
510500,0.656231,0.949500,-0.531168,347 
510510,0.626670,0.827700,-0.554189,347 
510810,0.633165,0.021600,-0.058547,54 
510880,0.242360,0.336218,-0.435722,718 
511010,0.354693,0.143000,-0.050395,321 
511210,1.441431,0.174400,-0.021100,129 
511220,1.734299,0.122000,-0.031000,88 
512000,2.984145,0.091300,-0.033383,14 
512070,0.754048,0.806600,-0.538180,383 
512880,2.363298,0.135600,-0.090694,56 
513100,0.919676,0.697000,-0.135772,123 
513500,0.712738,0.363900,-0.110724,66 
